SGA-DP200293,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,2.3917,2.88497,,1.0106,,0.430319,0.402444,,,31.39939698,82.137,13.425,
7,2.4,2.88875,,1.042,,0.427266,0.397906,,,31.66351759,82.432,15.171,
8,2.3959,2.86935,,1.1239,,0.431404,0.404439,,,31.60703518,81.896,12.586,
9,2.3936,2.89424,,1.0597,,0.430793,0.403715,,,31.99648241,82.204,13.483,
10,2.3957,2.88695,,1.058,,0.429449,0.402533,,,31.81939698,82.099,13.378,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,2.3416,2.84626,,1.0225,,0.414027,0.398133,,,31.95155779,81.395,11.217,
17,2.3607,2.85705,,1.0489,,0.411623,0.397917,,,31.61165829,81.497,11.114,
18,2.3599,2.86699,,1.0167,,0.412744,0.396004,,,31.8679397,81.843,12.916,
19,2.3541,2.86348,,1.1686,,0.411499,0.395819,,,31.37698492,82.035,13.16,
20,2.3453,2.85885,,1.0318,,0.412118,0.396872,,,31.2880402,81.465,11.464,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,2.3655,2.88033,,1.0327,,0.388797,0.380959,,,33.10110553,82.862,16.323,
27,2.3665,2.88639,,1.0641,,0.389319,0.38544,,,33.20954774,82.48,13.687,
28,2.3713,2.8984,,1.0871,,0.388798,0.383734,,,33.09537688,82.452,14.061,
29,2.3555,2.85279,,1.0684,,0.388796,0.384869,,,32.88663317,82.611,14.144,
30,2.3539,2.86008,,1.0805,,0.388527,0.381943,,,32.43648241,82.773,15.455,
