SGA-DP200278,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,2.3085,3.11302,,0.9185,,0.289177,0.280599,,,27.0342,,,
2,2.3268,3.11179,,0.9167,,0.290066,0.280343,,,27.3969,,,
3,2.3117,3.10782,,0.9175,,0.289689,0.281555,,,27.22,,,
4,2.3385,3.11558,,0.9163,,0.291208,0.280879,,,27.5179,,,
5,2.3117,3.11633,,0.9179,,0.289913,0.280156,,,27.5628,,,
6,2.3077,3.12693,,0.9177,,0.292375,0.286447,,,27.6731,,,
7,2.3364,3.10895,,0.9165,,0.289273,0.280253,,,27.7532,,,
8,2.3158,3.11037,,0.9173,,0.289808,0.280286,,,27.4602,,,
9,2.3339,3.10961,,0.9175,,0.289141,0.277396,,,27.4749,,,
10,2.3058,3.11974,,0.9158,,0.289386,0.282277,,,27.421,,,
11,2.3599,3.11756,,0.9187,,0.287173,0.272,,,28.1784,,,
12,2.3468,3.12239,,0.9183,,0.289322,0.2777,,,28.3193,,,
13,2.3562,3.12135,,0.9198,,0.288327,0.274861,,,28.3769,,,
14,2.3589,3.11444,,0.9169,,0.289591,0.276013,,,28.7567,,,
15,2.3514,3.12513,,0.9192,,0.289432,0.277235,,,28.3852,,,
16,2.3439,3.11898,,0.9183,,0.286959,0.272946,,,28.0854,,,
17,2.3603,3.11387,,0.9187,,0.286901,0.27252,,,28.1515,,,
18,2.3424,3.11321,,0.9187,,0.287605,0.274568,,,28.0138,,,
19,2.3528,3.12239,,0.9185,,0.287325,0.272567,,,28.1217,,,
20,2.374,3.11936,,0.9169,,0.287684,0.271114,,,28.1618,,,
21,2.3576,3.12078,,0.9181,,0.28349,0.267026,,,27.9697,,,
22,2.3537,3.1169,,0.9183,,0.281726,0.264649,,,27.8948,,,
23,2.3593,3.12192,,0.9177,,0.284416,0.268699,,,28.0398,,,
24,2.3555,3.12182,,0.9177,,0.28104,0.26255,,,27.6926,,,
25,2.3605,3.1275,,0.9179,,0.283368,0.266679,,,27.9759,,,
26,2.3555,3.11103,,0.9171,,0.284128,0.269441,,,28.1917,,,
27,2.3582,3.11851,,0.9181,,0.283757,0.268687,,,28.1156,,,
28,2.3501,3.11066,,0.919,,0.283972,0.269601,,,27.9317,,,
29,2.353,3.11245,,0.9181,,0.281172,0.26465,,,27.6623,,,
30,2.3547,3.11378,,0.9177,,0.283747,0.269885,,,28.2531,,,
