SGA-DP200408,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,2.3813,2.88222,,0.9738,,0.341968,0.354183,,,34.36271357,82.817,8.874,
2,2.3744,2.85393,,0.9686,,0.338988,0.352571,,,34.45979899,82.654,8.158,
3,2.3807,2.88156,,1.0021,,0.340987,0.354382,,,34.52241206,82.579,7.725,
4,2.3832,2.88288,,1.1416,,0.341536,0.354854,,,34.38904523,82.64,7.59,
5,2.3834,2.86008,,1.0888,,0.341961,0.356326,,,34.3839196,82.617,6.948,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,2.3896,2.86481,,1.2169,,0.331171,0.349672,,,34.69065327,81.713,4.16,
12,2.3938,2.89026,,1.2119,,0.329665,0.347183,,,34.58864322,82.099,6.501,
13,2.384,2.89017,,1.1472,,0.331471,0.34966,,,34.70422111,81.41,3.791,
14,2.3844,2.87039,,1.188,,0.328121,0.346981,,,34.58874372,81.71,4.623,
15,2.3853,2.87617,,1.1285,,0.330201,0.348205,,,34.78603015,81.754,5.237,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,2.3534,2.88071,,1.0075,,0.308101,0.322873,,,33.59859296,84.649,18.892,
22,2.348,2.86888,,0.9177,,0.309353,0.321668,,,33.10361809,85.258,23.446,
23,2.3518,2.89604,,0.9761,,0.308591,0.320943,,,33.14502513,85.153,22.612,
24,2.3501,2.88355,,0.988,,0.310037,0.321796,,,33.25718593,85.074,22.474,
25,2.3478,2.86084,,0.9624,,0.307948,0.321762,,,33.22884422,84.732,19.951,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
