SGA-DP200175,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,4.6276,6.13885,,0.9158,,0.401489,0.391454,,,133.5045226,84.411,15.407,
7,4.6733,6.18607,,0.9169,,0.401548,0.389315,,,132.4,84.542,16.291,
8,4.6544,6.14358,,0.9169,,0.401697,0.390053,,,133.0542714,84.605,16.543,
9,4.6282,6.18067,,0.9154,,0.401744,0.389474,,,131.9145729,84.589,16.501,
10,4.6508,6.13961,,0.9173,,0.400125,0.386799,,,130.1899497,84.914,18.086,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,4.7234,6.35583,,0.9165,,0.377093,0.377576,,,144.040201,82.874,10.292,
17,4.6679,6.34826,,0.9163,,0.375022,0.377481,,,143.6090452,82.439,8.433,
18,4.6714,6.3458,,0.9163,,0.377709,0.380681,,,144.2221106,82.516,8.633,
19,4.6733,6.34788,,0.9163,,0.378205,0.380851,,,144.0683417,82.363,8.236,
20,4.7192,6.34012,,0.9169,,0.378103,0.379041,,,144.3467337,82.598,9.17,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,4.682,6.41365,,0.9179,,0.351877,0.358311,,,137.761809,86.223,27.459,
27,4.6681,6.42188,,0.9173,,0.353442,0.359897,,,138.240201,86.063,27.065,
28,4.677,6.42538,,0.9165,,0.352299,0.358716,,,138.6633166,86.006,26.417,
29,4.6858,6.4057,,0.9177,,0.352324,0.358762,,,137.7417085,86.121,26.446,
30,4.6712,6.3493,,0.9179,,0.352825,0.36066,,,137.9638191,85.693,24.443,
