SGA-DP200176,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,4.6881,6.19903,,0.9163,,0.344502,0.35774,,,140.7316583,82.93,6.19,
2,4.7195,6.17377,,0.9169,,0.349079,0.362829,,,140.4281407,82.821,6.298,
3,4.6864,6.19165,,0.9165,,0.342328,0.354557,,,138.8201005,83.321,8.315,
4,4.7003,6.19478,,0.9167,,0.344599,0.353935,,,138.6532663,83.994,11.34,
5,4.6947,6.18446,,0.9167,,0.346292,0.360647,,,140.2281407,82.718,5.83,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,4.6357,6.25269,,0.9144,,0.333292,0.349721,,,137.4120603,84.477,14.725,
12,4.6573,6.23121,,0.9187,,0.334163,0.348828,,,138.5798995,84.73,15.108,
13,4.6619,6.22799,,0.9187,,0.334496,0.349734,,,137.9266332,83.964,10.374,
14,4.6172,6.2561,,0.9179,,0.33355,0.349813,,,138.1698492,84.679,16.769,
15,4.645,6.21957,,0.9148,,0.334821,0.348745,,,137.9135678,84.562,14.01,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,4.6872,6.36615,,0.915,,0.308166,0.326371,,,141.9386935,83.344,9.882,
22,4.6999,6.36567,,0.9146,,0.308935,0.326286,,,140.9125628,83.333,10.277,
23,4.6841,6.34315,,0.9152,,0.309823,0.329643,,,142.9979899,83.326,9.198,
24,4.6704,6.34826,,0.9138,,0.310274,0.329698,,,142.3547739,83.457,10.491,
25,4.7051,6.36075,,0.9142,,0.309376,0.32825,,,143.878392,82.745,6.853,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
