SGA-DPXXXXXX,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,2.353,2.85374,,0.9148,,0.434488,0.396288,,,29.6360804,82.666,17.488,
7,2.3568,2.84768,,0.9158,,0.432141,0.395449,,,29.17276382,82.498,17.489,
8,2.3776,2.84428,,0.9177,,0.434932,0.396111,,,29.55326633,82.845,18.123,
9,2.3747,2.84484,,0.9169,,0.435066,0.397405,,,29.44,82.322,16.657,
10,2.3686,2.84248,,0.915,,0.433878,0.396318,,,29.34854271,82.549,17.218,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,2.3967,2.86774,,0.9154,,0.402175,0.388036,,,32.71326633,81.763,14.886,
17,2.3961,2.8931,,0.9148,,0.401525,0.387159,,,32.73839196,81.861,15.484,
18,2.3913,2.916,,0.9148,,0.401081,0.387731,,,32.69246231,81.978,15.169,
19,2.378,2.88288,,0.914,,0.403169,0.391867,,,32.17085427,81.65,13.186,
20,2.3871,2.88137,,0.9144,,0.402343,0.388024,,,32.60673367,82.039,15.561,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,2.3653,2.87011,,1.0508,,0.388992,0.38349,,,32.64603015,82.877,15.577,
27,2.368,2.88128,,1.0416,,0.389233,0.384977,,,32.88241206,82.218,12.991,
28,2.3699,2.8703,,1.0032,,0.388639,0.383618,,,32.8160804,82.51,14.436,
29,2.369,2.87636,,1.053,,0.38904,0.384754,,,33.00643216,82.589,14.296,
30,2.3609,2.8702,,1.0701,,0.389635,0.382964,,,32.57768844,82.636,15.012,
