SGA-DPXXXXXX,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,2.3957,2.85604,,0.9273,,0.433084,0.409873,,,35.25738693,83.222,6.758,
7,2.4027,2.85822,,0.9248,,0.43562,0.409499,,,35.27909548,83.024,5.633,
8,2.4038,2.88187,,0.9256,,0.434054,0.410087,,,35.65386935,83.421,7.334,
9,2.4058,2.87014,,0.925,,0.430197,0.40757,,,35.70984925,83.25,7.197,
10,2.4036,2.85879,,0.9252,,0.434522,0.409785,,,35.56944724,83.027,5.779,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,2.3792,2.84346,,0.9275,,0.413369,0.394939,,,36.19447236,81.765,6.827,
17,2.3882,2.8357,,0.9273,,0.414252,0.396059,,,36.17768844,81.379,6.145,
18,2.3805,2.83807,,0.9262,,0.412821,0.39573,,,35.87447236,81.368,6.08,
19,2.385,2.84715,,0.9262,,0.41239,0.393882,,,36.29296482,81.984,7.7,
20,2.3763,2.84327,,0.9269,,0.41363,0.396632,,,35.84854271,81.353,5.505,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,2.3449,2.82302,,0.9246,,0.384705,0.376628,,,35.63527638,84.945,14.224,
27,2.358,2.83523,,0.9235,,0.380153,0.372095,,,36.22221106,85.201,15.93,
28,2.353,2.85188,,0.926,,0.381742,0.372698,,,35.99246231,85.375,16.236,
29,2.3401,2.83088,,0.9239,,0.384849,0.376909,,,35.51065327,84.721,13.645,
30,2.3489,2.82738,,0.926,,0.384087,0.375812,,,36.03698492,85.094,14.956,
