typecd	workcd	itemcd	causecd	classcd	itemnm	causenm	classnm	itemno	delfg	lastupddt	deflinno	materialcd
NFSL757G120655	DB0003	F0001	28021	1001	作業ミス	自-ダイボンド	通常	6	0	2016-06-13 16:35:22.000	50	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0004	28006	1001	その他免責	自-受入	通常	10	0	2016-06-13 16:35:22.000	36	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0004	28021	1001	その他免責	自-ダイボンド	通常	8	0	2016-06-13 16:35:22.000	22	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0005	28021	1001	ｺﾞﾐ付着	自-ダイボンド	通常	1	0	2016-06-13 16:35:22.000	49	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0015	21433	Z001	ｸﾗｯｸ	素子	ZD	10	0	2016-06-13 16:35:22.000	27	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0015	28006	1001	ｸﾗｯｸ	自-受入	通常	10	0	2016-06-13 16:35:22.000	23	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0016	21433	Z001	電極傷	素子	ZD	10	0	2016-06-13 16:35:22.000	28	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0019	28021	Z001	樹脂少量	自-ダイボンド	ZD	2	0	2016-06-13 16:35:22.000	45	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0020	28021	Z001	樹脂多量	自-ダイボンド	ZD	1	0	2016-06-13 16:35:22.000	52	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0021	28021	Z001	樹脂付着	自-ダイボンド	ZD	7	0	2016-06-13 16:35:22.000	41	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0022	28021	Z001	樹脂飛散	自-ダイボンド	ZD	8	0	2016-06-13 16:35:22.000	42	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0030	28006	1001	B'g異物付着	自-受入	通常	10	0	2016-06-13 16:35:22.000	48	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0031	28006	1001	B'g傷	自-受入	通常	10	0	2016-06-13 16:35:22.000	1	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0033	28006	1001	B'g変色	自-受入	通常	10	0	2016-06-13 16:35:22.000	16	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0034	28006	1001	B'g凹み	自-受入	通常	10	0	2016-06-13 16:35:22.000	15	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0043	28006	1001	チッピング	自-受入	通常	10	0	2018-12-28 10:32:21.050	5	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0045	28006	1001	PKG傷	自-受入	通常	10	0	2016-06-13 16:35:22.000	4	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0060	28006	1001	ﾏｰｷﾝｸﾞﾐｽ	自-受入	通常	10	0	2016-06-13 16:35:22.000	47	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0109	21433	Z001	ﾁｯﾌﾟ欠け	素子	ZD	10	0	2016-06-13 16:35:22.000	17	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0110	21433	Z001	ﾁｯﾌﾟ割れ	素子	ZD	10	0	2016-06-13 16:35:22.000	18	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0111	21433	Z001	スクライブNG	素子	ZD	10	0	2016-06-13 16:35:22.000	19	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0491	28021	1001	装置トラブル	自-ダイボンド	通常	5	0	2016-06-13 16:35:22.000	6	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0503	21433	Z001	電極残り	素子	ZD	10	0	2016-06-13 16:35:22.000	20	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0515	28021	Z001	XYズレ	自-ダイボンド	ZD	3	0	2016-06-13 16:35:22.000	44	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0516	28021	Z001	θズレ	自-ダイボンド	ZD	4	0	2016-06-13 16:35:22.000	46	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0517	28021	Z001	Zθズレ	自-ダイボンド	ZD	5	0	2016-06-13 16:35:22.000	32	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0518	28021	Z001	ブリード	自-ダイボンド	ZD	10	0	2016-06-13 16:35:22.000	29	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0519	28021	Z001	コレットマーク	自-ダイボンド	ZD	10	0	2016-06-13 16:35:22.000	30	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0520	28021	Z001	チップ無し	自-ダイボンド	ZD	6	0	2016-06-13 16:35:22.000	43	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0521	28021	Z001	チップ多数	自-ダイボンド	ZD	9	0	2016-06-13 16:35:22.000	39	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0621	21433	Z001	電極バリ	素子	ZD	10	0	2016-06-13 16:35:22.000	11	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0724	28006	1001	PKG汚れ	自-受入	通常	10	0	2018-12-28 10:35:50.783	38	NFSL757G120655.DBA
NFSL757G120655	DB0003	F0896	21433	Z001	電極剥がれ	素子	ZD	10	0	2016-06-13 16:35:22.000	12	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1038	28006	1001	その他自責・不明	自-受入	通常	10	0	2016-06-13 16:35:22.000	34	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1038	28021	1001	その他自責・不明	自-ダイボンド	通常	7	0	2016-06-13 16:35:22.000	7	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1106	28006	1001	BM免責	自-受入	通常	10	0	2016-06-13 16:35:22.000	37	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1147	28006	1001	ベース基板側異物付着	自-受入	通常	10	0	2016-06-13 16:35:22.000	51	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1157	28006	1001	裏面樹脂漏れ	自-受入	通常	10	0	2016-06-13 16:35:22.000	24	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1265	28006	1001	PKGｼｮｰﾄ	自-受入	通常	10	0	2016-06-13 16:35:22.000	31	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1266	28006	1001	ﾍﾞｰｽ基板側PKGｼｮｰﾄ	自-受入	通常	10	0	2016-06-13 16:35:22.000	40	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1267	28006	1001	ﾍﾞｰｽ基板側B'g凹み	自-受入	通常	10	0	2016-06-13 16:35:22.000	35	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1425	28021	Z001	ﾁｯﾌﾟ剥がれ（ｺﾞﾐ起因）	自-ダイボンド	ZD	10	0	2016-06-13 16:35:22.000	21	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1426	28021	Z001	ﾁｯﾌﾟ剥がれ（ｺﾞﾐ起因以外）	自-ダイボンド	ZD	10	0	2016-06-13 16:35:22.000	9	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1432	28021	Z001	ﾁｯﾌﾟｸﾗｯｸ	自-ダイボンド	ZD	10	0	2016-06-13 16:35:22.000	10	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1433	28021	1001	樹脂調整ミス	自-ダイボンド	通常	2	0	2016-06-13 16:35:22.000	2	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1434	28021	1001	ﾁｯﾌﾟ異物付着	自-ダイボンド	通常	3	0	2016-06-13 16:35:22.000	3	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1435	28021	1001	BM不一致	自-ダイボンド	通常	9	0	2016-06-13 16:35:22.000	8	NFSL757G120655.DBA
NFSL757G120655	DB0003	F1547	28021	1001	ダイボンダー搬送ミス	自-ダイボンド	通常	4	0	2016-06-13 16:35:22.000	33	NFSL757G120655.DBA
