Equipment_NO	EquiErr_NO	QcParam_NO	NascaErr_NO	DefCause_CD	DefClass_CD	LastUpd_DT	NotOutputNas_FG	ProcNo
S09697	1006	547	F1477	28022	Z001	2017-10-04 16:00:00.000	0	10
S09697	1007	548	F1478	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1008	549	F1479	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1009	550	F1480	28022	Z001	2017-10-04 16:00:00.000	0	10
S09697	1010	551	F1481	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1011	552	F1482	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1012	553	F1483	28022	Z001	2017-10-04 16:00:00.000	0	10
S09697	1013	554	F1484	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1014	555	F1485	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1015	559	F1486	28022	Z001	2017-10-04 16:00:00.000	0	10
S09697	1016	560	F1487	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1017	564	F1488	28022	Z001	2017-10-04 16:00:00.000	0	10
S09697	1018	565	F1489	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1019	566	F1490	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1020	567	F1491	28022	Z001	2017-10-04 16:00:00.000	0	10
S09697	1021	568	F1492	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1022	569	F1493	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1023	561	F1494	28022	Z001	2017-10-04 16:00:00.000	0	10
S09697	1024	562	F1495	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1025	563	F1496	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1026	570	F1497	28022	Z001	2017-10-04 16:00:00.000	0	10
S09697	1027	571	F1498	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1028	572	F1499	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1029	573	F1500	28022	Z001	2017-10-04 16:00:00.000	0	10
S09697	1030	574	F1501	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1031	575	F1502	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1032	576	F1503	28022	Z001	2017-10-04 16:00:00.000	0	10
S09697	1033	577	F1504	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1034	578	F1505	28022	Z001	2017-10-04 16:00:00.000	0	10
S09697	1035	579	F1506	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1036	580	F1507	28022	Z001	2017-10-04 16:00:00.000	0	10
S09697	1037	581	F1508	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1038	1328	F1623	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1039	1329	F1624	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1040	1330	F1625	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1041	1331	F1626	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1042	1332	F1627	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1043	1333	F1628	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1044	1334	F1629	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1045	1335	F1630	28022	LED1	2017-10-04 16:00:00.000	0	10
S09697	1047	1745	F1859	28022	R001	2017-10-04 16:00:00.000	0	10
S09697	1048	1748	F1860	28022	R001	2017-10-04 16:00:00.000	0	10
S09697	1049	1751	F1861	28022	R001	2017-10-04 16:00:00.000	0	10
S09697	1050	1754	F1862	28022	R001	2017-10-04 16:00:00.000	0	10
S09697	1051	1760	F1863	28022	R001	2017-10-04 16:00:00.000	0	10
S09697	1052	1763	F1864	28022	R001	2017-10-04 16:00:00.000	0	10
S09697	1053	1757	F1865	28022	R001	2017-10-04 16:00:00.000	0	10
S09697	1054	1766	F1866	28022	R001	2017-10-04 16:00:00.000	0	10
S09697	1055	1769	F1867	28022	R001	2017-10-04 16:00:00.000	0	10
S09697	1056	1772	F1868	28022	R001	2017-10-04 16:00:00.000	0	10
S09697	1057	1775	F1869	28022	R001	2017-10-04 16:00:00.000	0	10
S09697	1058	1778	F1870	28022	R001	2017-10-04 16:00:00.000	0	10
S09697	1060	1746	F1872	28022	G001	2017-10-04 16:00:00.000	0	10
S09697	1061	1749	F1873	28022	G001	2017-10-04 16:00:00.000	0	10
S09697	1062	1752	F1874	28022	G001	2017-10-04 16:00:00.000	0	10
S09697	1063	1755	F1875	28022	G001	2017-10-04 16:00:00.000	0	10
S09697	1064	1761	F1876	28022	G001	2017-10-04 16:00:00.000	0	10
S09697	1065	1764	F1877	28022	G001	2017-10-04 16:00:00.000	0	10
S09697	1066	1758	F1878	28022	G001	2017-10-04 16:00:00.000	0	10
S09697	1067	1767	F1879	28022	G001	2017-10-04 16:00:00.000	0	10
S09697	1068	1770	F1880	28022	G001	2017-10-04 16:00:00.000	0	10
S09697	1069	1773	F1881	28022	G001	2017-10-04 16:00:00.000	0	10
S09697	1070	1776	F1882	28022	G001	2017-10-04 16:00:00.000	0	10
S09697	1071	1779	F1883	28022	G001	2017-10-04 16:00:00.000	0	10
S09697	1073	1747	F1885	28022	B001	2017-10-04 16:00:00.000	0	10
S09697	1074	1750	F1886	28022	B001	2017-10-04 16:00:00.000	0	10
S09697	1075	1753	F1887	28022	B001	2017-10-04 16:00:00.000	0	10
S09697	1076	1756	F1888	28022	B001	2017-10-04 16:00:00.000	0	10
S09697	1077	1762	F1889	28022	B001	2017-10-04 16:00:00.000	0	10
S09697	1078	1765	F1890	28022	B001	2017-10-04 16:00:00.000	0	10
S09697	1079	1759	F1891	28022	B001	2017-10-04 16:00:00.000	0	10
S09697	1080	1768	F1892	28022	B001	2017-10-04 16:00:00.000	0	10
S09697	1081	1771	F1893	28022	B001	2017-10-04 16:00:00.000	0	10
S09697	1082	1774	F1894	28022	B001	2017-10-04 16:00:00.000	0	10
S09697	1083	1777	F1895	28022	B001	2017-10-04 16:00:00.000	0	10
S09697	1084	1780	F1896	28022	B001	2017-10-04 16:00:00.000	0	10
S09697	1085	2866	F2082	28022	1001	2017-10-04 16:00:00.000	0	10
S09697	1086	2867	F2083	28022	1001	2017-10-04 16:00:00.000	0	10
S09697	1087	2868	F2084	28022	1001	2017-10-04 16:00:00.000	0	10
S09697	1088	2869	F2085	28022	1001	2017-10-04 16:00:00.000	0	10
S09697	1089	2870	F2086	28022	1001	2017-10-04 16:00:00.000	0	10
S09697	1090	2871	F2087	28022	1001	2017-10-04 16:00:00.000	0	10
S09697	1091	2872	F2088	28022	1001	2017-10-04 16:00:00.000	0	10
S09697	1092	2873	F2089	28022	1001	2017-10-04 16:00:00.000	0	10
S09697	1099	582	F1391	28022	1001	2017-10-04 16:00:00.000	0	10
S09697	1100	583	F0884	28022	1001	2017-10-04 16:00:00.000	0	10
