OriginalCD	OriginalValue	ConvertCD	ConvertValue	DelFG	UpdUserCD	LastUpdDT
AI_MM     	0	AI_OUT    	0	0	5175	2014-09-07 16:35:00.000
AI_MM     	1	AI_OUT    	0	0	5175	2014-10-24 12:55:20.597
AI_MM     	1000	AI_OUT    	0	0	5175	2014-09-07 16:34:00.000
AI_MM     	1001	AI_OUT    	0	0	5175	2014-09-07 16:37:00.000
AI_MM     	Other	AI_OUT    	1	0	5175	2014-09-07 16:42:00.000
AI_OUT    	0	MD_IN     	0	0	5175	2014-09-07 15:19:00.000
AI_OUT    	1	MD_IN     	1	0	5175	2014-09-07 15:19:00.000
AI_OUT    	2	MD_IN     	2	0	40449	2018-10-18 20:19:00.000
MD_IN     	0	MD_IN1    	0	0	40449	2018-10-18 20:19:00.000
MD_IN     	0	MD_IN2    	0	0	40449	2018-10-18 20:19:00.000
MD_IN     	1	MD_IN1    	1	0	40449	2018-10-18 20:19:00.000
MD_IN     	1	MD_IN2    	0	0	40449	2018-10-18 20:19:00.000
MD_IN     	2	MD_IN1    	0	0	40449	2018-10-18 20:19:00.000
MD_IN     	2	MD_IN2    	1	0	40449	2018-10-18 20:19:00.000
WB_MM     	0	MD_IN     	0	0	41828	2014-10-02 19:08:00.000
WB_MM     	1	MD_IN     	1	0	41828	2014-10-02 19:08:00.000
WB_MM     	2	MD_IN     	1	0	41828	2014-10-02 19:08:00.000
WB_MM     	3	MD_IN     	1	0	41828	2014-10-02 19:08:00.000
WB_MM     	4	MD_IN     	1	0	41828	2014-10-02 19:08:00.000
WB_MM     	7	MD_IN     	2	0	40449	2018-10-18 20:19:00.000
WB_MM     	M	MD_IN     	1	0	42940	2016-08-30 14:30:00.000
WB_MM     	S	MD_IN     	0	0	42940	2016-08-30 14:30:00.000
WB_OUT    	0	AI_IN     	0	0	5175	2014-09-07 15:21:00.000
WB_OUT    	0	MD_IN     	0	0	41828	2014-10-02 19:08:00.000
WB_OUT    	1	AI_IN     	0	0	5175	2014-09-07 15:16:00.000
WB_OUT    	1	MD_IN     	1	0	5175	2014-09-07 15:24:00.000
WB_OUT    	2	AI_IN     	0	0	5175	2014-09-07 15:16:00.000
WB_OUT    	2	MD_IN     	1	0	5175	2014-09-07 15:24:00.000
WB_OUT    	3	AI_IN     	0	0	5175	2014-09-07 15:18:00.000
WB_OUT    	3	MD_IN     	1	0	5175	2014-09-07 15:24:00.000
WB_OUT    	4	AI_IN     	0	0	5175	2014-09-07 15:18:00.000
WB_OUT    	4	MD_IN     	1	0	5175	2014-09-07 15:24:00.000
WB_OUT    	7	AI_IN     	0	0	40449	2018-10-18 20:19:00.000
WB_OUT    	7	MD_IN     	2	0	40449	2018-10-18 20:19:00.000
WB_OUT    	M	AI_IN     	0	0	5175	2014-09-07 15:20:00.000
WB_OUT    	M	MD_IN     	1	0	5175	2014-09-07 15:25:00.000
WB_OUT    	S	AI_IN     	1	0	5175	2014-09-07 15:19:00.000
WB_OUT    	S	MD_IN     	0	0	5175	2014-09-07 15:19:00.000
