Model_NM	QcParam_NO	Material_CD	Parameter_MAX	Parameter_MIN	Parameter_VAL	QcLine_MAX	QcLine_MIN	AimLine_VAL	AimRate_VAL	DS_FG	Del_FG	UpdUser_CD	LastUpd_DT	Equipment_NO	InnerUpperLimit	InnerLowerLimit	ParamGetUpperCond	ParamGetLowerCond	ResinGroup_CD
AI	151	NFSL757G120655          	999999.0000	-999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	152	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	153	NFSL757G120655          	999999.0000	-999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	162	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	165	NFSL757G120655          	999999.0000	-999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	166	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	175	NFSL757G120655          	999999.0000	-999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	176	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	187	NFSL757G120655          	999999.0000	-999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	227	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	228	NFSL757G120655          	999999.0000	-999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	229	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	236	NFSL757G120655          	999999.0000	-999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	237	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	504	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	505	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	506	NFSL757G120655          	2.5000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	516	NFSL757G120655          	5.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	517	NFSL757G120655          	11.0000	0.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	518	NFSL757G120655          	7.0000	0.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	523	NFSL757G120655          	3.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	524	NFSL757G120655          	3.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	525	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	531	NFSL757G120655          	100.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	532	NFSL757G120655          	100.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	537	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	538	NFSL757G120655          	30.0000	0.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	539	NFSL757G120655          	100.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	546	NFSL757G120655          	41.1700	41.0900	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	547	NFSL757G120655          	3.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:57.000		NULL	NULL	NULL	NULL	
AI	553	NFSL757G120655          	1.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:57.000		NULL	NULL	NULL	NULL	
