typecd	chkworkcd	chkworkkb	lineno	tgtworkcd	tgtworkkb	attension	warning	effect	delfg	lastupddt	chklinno
NFSL757G120655	DB0004	S	4007	DB0003	S	240	180	1440	0	2018-02-05 17:30:08.270	0
NFSL757G120655	DB0006	E	4008	DB0006	S	120	60	1020	0	2018-02-05 17:30:08.270	0
NFSL757G120655	DB0006	S	4009	DB0004	S	43200	14400	129600	0	2018-02-05 17:30:08.270	0
NFSL757G120655	DB0007	S	4010	DB0006	S	240	180	2160	0	2018-02-05 17:30:08.270	0
NFSL757G120655	DB0027	S	4011	DB0006	E	1800	1680	2160	0	2018-02-05 17:30:08.270	0
NFSL757G120655	DB0027	S	4012	DB0006	E	-8000	-8000	-360	0	2018-02-05 17:30:08.270	1
NFSL757G120655	MD0003	E	7356	WB0002	S	7200	4320	40320	0	2020-11-06 17:15:07.163	0
NFSL757G120655	MD0004	E	7357	MD0004	S	1440	720	10080	0	2020-11-06 17:15:07.163	0
NFSL757G120655	MD0004	E	7358	MD0004	S	-8000	-8000	-405	0	2020-11-06 17:15:07.163	1
NFSL757G120655	MD0004	S	7359	MD0003	S	210	90	720	0	2020-11-06 17:15:07.163	0
NFSL757G120655	MD0004	S	7360	MD0081	S	570	540	720	0	2020-11-06 17:15:07.163	1
NFSL757G120655	MD0004	S	7361	MD0081	S	-8000	-8000	-30	0	2020-11-06 17:15:07.163	2
NFSL757G120655	MD0081	S	7362	MD0003	E	640	610	720	0	2020-11-06 17:15:07.163	0
NFSL757G120655	WB0002	S	3989	DB0007	S	43200	14400	129600	0	2018-01-30 15:15:11.430	0
NFSL757G120655	WB0003	E	5661	WB0002	S	720	480	4920	0	2019-08-20 16:21:17.033	0
NFSL757G120655	WB0009	S	6123	WB0001	S	180	120	1440	0	2020-02-03 10:05:56.403	1
