28022,,
SKIP数,1549,1001
部材交換免責,1166,1001
立ち上げ免責,1939,1001
不着確認免責,1940,1001
ゴミ混入,6,1001
その他免責,4,1001
(LED1)スパークミス,1187,1001
(ZD)スパークミス,C1187,1001
(LED1)ﾀｯﾁ高さ異常,1178,1001
(ZD)ﾀｯﾁ高さ異常,C1178,1001
(LED1)ｶｯﾄｴﾗｰ,1176,1001
(ZD)ｶｯﾄｴﾗｰ,C1176,1001
(LED1)ﾜｲﾔｰﾌｨｰﾄﾞ量ｴﾗｰ,1179,1001
(ZD)ﾜｲﾔｰﾌｨｰﾄﾞ量ｴﾗｰ,C1179,1001
(LED1)装置ﾐｽ（その他）,1180,1001
(ZD)装置ﾐｽ（その他）,C1180,1001
(LED1)つぶし不足エラー,3368,1001
(LED1)つぶし過剰エラー,3369,1001
(LED1)つぶし時間リミット,3370,1001
(LED1)P-付かず,530,1001
(ZD)P-付かず,C530,1001
(LED1)N-付かず,531,1001
(LED1)P-剥がれ,532,1001
(ZD)P-剥がれ,C532,1001
(LED1)N-剥がれ,533,1001
(LED1)P-1st不着誤検出,1421,1001
(ZD)P-1st不着誤検出,C1421,1001
(LED1)N-1st不着誤検出,1417,1001
(LED1)P-2nd不着誤検出,1422,1001
(ZD)P-2nd不着誤検出,C1422,1001
(LED1)N-2nd不着誤検出,1418,1001
(LED1)P-補強ワイヤー2nd不着誤検出,1424,1001
(LED1)N-補強ワイヤー2nd不着誤検出,1420,1001
(LED1)P-2ndハネ,525,1001
(ZD)P-2ndハネ,C525,1001
(LED1)N-2ndハネ,526,1001
(LED1)P-2nd補強ハネ,1441,1001
(LED1)N-2nd補強ハネ,1442,1001
ｺﾞﾐ付着,5,1001
(LED1)チップ無し,520,1001
(ZD)チップ無し,C520,1001
(LED1)Zθズレ,517,1001
(ZD)Zθズレ,C517,1001
(LED1)XYズレ,515,1001
(ZD)XYズレ,C515,1001
(LED1)θズレ,516,1001
(ZD)θズレ,C516,1001
(LED1)ダイス剥がれ（ゴミ起因）,1425,1001
(LED1)ダイス剥がれ（ゴミ起因以外）,1426,1001
(ZD)ダイス剥がれ（ゴミ起因）,C1425,1001
(ZD)ダイス剥がれ（ゴミ起因以外）,C1426,1001
(LED1)チップ多数,521,1001
(ZD)チップ多数,C521,1001
(LED1)樹脂少量,19,1001
(ZD)樹脂少量,C19,1001
(LED1)樹脂多量,20,1001
(ZD)樹脂多量,C20,1001
(LED1)樹脂付着,21,1001
(ZD)樹脂付着,C21,1001
(LED1)樹脂飛散,22,1001
(ZD)樹脂飛散,C22,1001
(LED1)コレットマーク,519,1001
(ZD)コレットマーク,C519,1001
(LED1)電極傷,16,1001
(LED1)電極汚れ,114,1001
(LED1)異物付着,11,1001
(ZD)電極傷,C16,1001
(ZD)電極汚れ,C114,1001
(ZD)異物付着,C11,1001
