機種,LotNo,測定箇所,強度,破壊モード,コメント,設備,作業者,日時,テスト装置,テストグループ
CLU04CH1212C4-000,20827DD001,DS-ZD,77.077,2,,192,8010708,2020/08/28 09:06:03,4000 Optima_20236819,DIE SHEAR 400G
CLU04CH1212C4-000,20827DD001,DS-LED-Blue,965.69,2,,328,8010708,2020/08/28 08:53:36,4000 Optima_20236819,PULL CUT 25g
CLU04CH1212C4-000,20827DD001,DS-LED-Blue,828.35,2,,328,8010708,2020/08/28 08:53:36,4000 Optima_20236819,PULL CUT 25g
CLU04CH1212C4-000,20827DD001,DS-LED-Blue,880.67,2,,328,8010708,2020/08/28 08:53:36,4000 Optima_20236819,PULL CUT 25g
CLU04CH1212C4-000,20827DD001,DS-LED-Blue,901.79,2,,328,8010708,2020/08/28 08:53:36,4000 Optima_20236819,PULL CUT 25g
CLU04CH1212C4-000,20827DD001,DS-LED-Blue,1061.5,2,,328,8010708,2020/08/28 08:53:36,4000 Optima_20236819,PULL CUT 25g
CLU04CH1212C4-000,20827DD001,DS-LED-Blue,659.28,2,,328,8010708,2020/08/28 08:53:36,4000 Optima_20236819,PULL CUT 25g
CLU04CH1212C4-000,20827DD001,DS-LED-Blue,727.90,2,,328,8010708,2020/08/28 08:53:36,4000 Optima_20236819,PULL CUT 25g
CLU04CH1212C4-000,20827DD001,DS-LED-Blue,943.57,2,,328,8010708,2020/08/28 08:53:36,4000 Optima_20236819,PULL CUT 25g
CLU04CH1212C4-000,20827DD001,DS-LED-Blue,1098.3,2,,328,8010708,2020/08/28 08:53:36,4000 Optima_20236819,PULL CUT 25g
CLU04CH1212C4-000,20827DD001,DS-LED-Blue,789.79,2,,328,8010708,2020/08/28 08:53:36,4000 Optima_20236819,PULL CUT 25g
CLU028H0701C4-000,20825DD002,DS-LED-Blue,663.73,2,,328,8010708,2020/08/26 10:38:27,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20825DD002,DS-LED-Blue,729.70,2,,328,8010708,2020/08/26 10:38:27,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20825DD002,DS-LED-Blue,553.03,2,,328,8010708,2020/08/26 10:38:27,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20825DD002,DS-LED-Blue,369.12,2,,328,8010708,2020/08/26 10:38:27,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20825DD002,DS-LED-Blue,586.03,2,,328,8010708,2020/08/26 10:38:27,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20825DD002,DS-LED-Blue,783.30,2,,328,8010708,2020/08/26 10:38:27,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20825DD002,DS-LED-Blue,553.93,2,,328,8010708,2020/08/26 10:38:27,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20825DD002,DS-LED-Blue,640.09,2,,328,8010708,2020/08/26 10:38:27,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20825DD002,DS-LED-Blue,638.53,2,,328,8010708,2020/08/26 10:38:27,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20825DD002,DS-LED-Blue,532.55,2,,328,8010708,2020/08/26 10:38:27,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20825DD002,DS-ZD,71.525,2,,192,8010708,2020/08/26 10:45:46,4000 Optima_20236819,DIE SHEAR 400G
MHL944H4711C4W0AA,20924DD012,DS-ZD,97.689,2,,334,8011512,2020/09/25 13:04:42,4000 Optima_20236819,DIE SHEAR 400G
MHL944H4711C4W0AA,20924DD012,DS-ZD,98.845,2,,334,8011512,2020/09/25 13:04:42,4000 Optima_20236819,DIE SHEAR 400G
MHL944H4711C4W0AA,20924DD012,DS-ZD,96.063,2,,334,8011512,2020/09/25 13:04:42,4000 Optima_20236819,DIE SHEAR 400G
MHL944H4711C4W0AA,20924DD013,DS-LED-Blue,485.32,2,,335,8011512,2020/09/25 13:25:48,4000 Optima_20236819,DIE SHEAR 2.0KG
MHL944H4711C4W0AA,20924DD013,DS-LED-Blue,581.95,2,,335,8011512,2020/09/25 13:25:48,4000 Optima_20236819,DIE SHEAR 2.0KG
MHL944H4711C4W0AA,20924DD013,DS-LED-Blue,615.82,2,,335,8011512,2020/09/25 13:25:48,4000 Optima_20236819,DIE SHEAR 2.0KG
MHL944H4711C4W0AA,20924DD013,DS-LED-Blue,700.12,2,,335,8011512,2020/09/25 13:25:48,4000 Optima_20236819,DIE SHEAR 2.0KG
MHL944H4711C4W0AA,20924DD013,DS-LED-Blue,581.68,2,,335,8011512,2020/09/25 13:25:48,4000 Optima_20236819,DIE SHEAR 2.0KG
MHL944H4711C4W0AA,20924DD013,DS-LED-Blue,412.07,2,,335,8011512,2020/09/25 13:25:48,4000 Optima_20236819,DIE SHEAR 2.0KG
MHL944H4711C4W0AA,20924DD013,DS-LED-Blue,498.24,2,,335,8011512,2020/09/25 13:25:48,4000 Optima_20236819,DIE SHEAR 2.0KG
MHL944H4711C4W0AA,20924DD013,DS-LED-Blue,509.92,2,,335,8011512,2020/09/25 13:25:48,4000 Optima_20236819,DIE SHEAR 2.0KG
MHL944H4711C4W0AA,20924DD013,DS-LED-Blue,623.60,2,,335,8011512,2020/09/25 13:25:48,4000 Optima_20236819,DIE SHEAR 2.0KG
MHL944H4711C4W0AA,20924DD013,DS-LED-Blue,436.95,2,,335,8011512,2020/09/25 13:25:48,4000 Optima_20236819,DIE SHEAR 2.0KG
MHL944H4711C4W0AA,20924DD013,DS-ZD,91.439,2,,334,8011512,2020/09/25 13:22:36,4000 Optima_20236819,DIE SHEAR 400G
MHL944H4711C4W0AA,20924DD013,DS-ZD,91.132,2,,334,8011512,2020/09/25 13:22:36,4000 Optima_20236819,DIE SHEAR 400G
MHL944H4711C4W0AA,20924DD013,DS-ZD,95.622,2,,334,8011512,2020/09/25 13:22:36,4000 Optima_20236819,DIE SHEAR 400G
MHL944H4711C4W0AA,20924DD013,DS-ZD,89.039,2,,334,8011512,2020/09/25 13:22:36,4000 Optima_20236819,DIE SHEAR 400G
CLU028H0701C4-000,20903DD005,DS-LED-Blue,598.47,2,,328,8011512,2020/09/04 08:43:22,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,660.90,2,,328,8011512,2020/09/04 08:43:22,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,415.09,2,,328,8011512,2020/09/04 08:43:22,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,263.95,2,,328,8011512,2020/09/04 08:43:22,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,492.29,2,,328,8011512,2020/09/04 08:43:22,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,608.96,2,,328,8011512,2020/09/04 08:43:22,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,496.53,2,,328,8011512,2020/09/04 08:43:22,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,598.47,2,,328,8011512,2020/09/04 08:43:22,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,660.90,2,,328,8011512,2020/09/04 08:43:22,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,415.09,2,,328,8011512,2020/09/04 08:43:22,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,263.95,2,,328,8011512,2020/09/04 08:43:22,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,492.29,2,,328,8011512,2020/09/04 08:43:22,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,608.96,2,,328,8011512,2020/09/04 08:43:22,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,496.53,2,,328,8011512,2020/09/04 08:43:22,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,416.14,2,,328,8010708,2020/09/04 11:53:10,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,480.79,2,,328,8010708,2020/09/04 11:53:10,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,581.33,2,,328,8010708,2020/09/04 11:53:10,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,323.18,2,,328,8010708,2020/09/04 11:53:10,4000 Optima_20236819,DIE SHEAR 2.0KG
CLU028H0701C4-000,20903DD005,DS-LED-Blue,399.61,2,,328,8010708,2020/09/04 11:53:10,4000 Optima_20236819,DIE SHEAR 2.0KG
