機種,LotNo,測定箇所,強度,破壊モード,コメント,設備,作業者,日時,テスト装置,テストグループ
CLU04CH1212C4-000,20827DD001,BS-ZD-Ball,60.030,4,,2,8011269,2020/09/01 16:12:35,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-ZD-Ball,56.570,4,,2,8011269,2020/09/01 16:12:35,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-ZD-Ball,61.414,4,,2,8011269,2020/09/01 16:12:35,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-ZD-Ball,62.852,4,,2,8011269,2020/09/01 16:12:35,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-ZD-Ball,59.276,4,,2,8011269,2020/09/01 16:12:35,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-ZD-Ball,60.091,4,,2,8011269,2020/09/01 16:12:35,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-ZD-Ball,58.152,4,,2,8011269,2020/09/01 16:12:35,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-ZD-Ball,64.088,4,,2,8011269,2020/09/01 16:12:35,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-ZD-Ball,61.298,4,,2,8011269,2020/09/01 16:12:35,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-ZD-Ball,57.375,4,,2,8011269,2020/09/01 16:12:35,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-LED-Anode,67.763,4,,2,8011269,2020/09/01 16:17:07,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-LED-Anode,65.964,4,,2,8011269,2020/09/01 16:17:07,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-LED-Anode,65.702,4,,2,8011269,2020/09/01 16:17:07,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-LED-Anode,65.949,4,,2,8011269,2020/09/01 16:17:07,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-LED-Anode,68.511,4,,2,8011269,2020/09/01 16:17:07,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-LED-Anode,63.322,4,,2,8011269,2020/09/01 16:17:07,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-LED-Anode,63.395,4,,2,8011269,2020/09/01 16:17:07,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-LED-Anode,62.155,4,,2,8011269,2020/09/01 16:17:07,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-LED-Anode,63.860,4,,2,8011269,2020/09/01 16:17:07,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-LED-Anode,64.121,4,,2,8011269,2020/09/01 16:17:07,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-LED-Bump,68.718,4,,2,8011269,2020/09/01 16:19:16,4000 Optima_20236819,BALL SHEAR 250g
CLU04CH1212C4-000,20827DD001,BS-LED-Bump,70.480,4,,2,8011269,2020/09/01 16:19:16,4000 Optima_20236819,BALL SHEAR 250g
