Fcode,Format_name,name,Type,NeedGroveBox,許容誤差
F-400-K80,S18-A,KER-1932-A,RESIN_A,False,0.025
F-401-D30,S18-B,KER-1932-B,RESIN_B,False,0.025
F-405-A60,F_E-2,FUSELEX E-2,FILLER,False,0.1
F-405-A90,CR-90-2,CR-90-2,TiO2,False,-1
F-405-B20,DM-30,DM-30,TORO,False,-1
F-402-Q50,BR-102/Z,BR-102/Z,RED,False,-1
F-402-U20,NP-163-31,NP-163-31,YELLOW,False,-1
F-402-U10,NP-2061-1207,NP-2061-1207,YELLOW,False,0.1
F-402-S40,NP-2063-1005,NP-2063-1005,YELLOW,False,0.1
F-402-N60,NP-206-911,NP-206-911,YELLOW,False,-1
F-402-U30,NP-390-5103,NP-390-5103,RED,False,-1
F-402-U40,NP-391-1202,NP-391-1202,RED,False,-1
F-402-U50,NP-391-7304,NP-391-7304,RED,False,-1
F-402-Q60,RE-418L,RE-418L,RED,False,-1
F-402-T40,RE-704,RE-704,RED,False,-1
F-400-H70,S11-A,OE7340A,RESIN_A,False,-1
BF-400-H70,S11-B,OE7340B,RESIN_B,False,-1
F-402-M30,NP-206-903,NP-206-903,YELLOW,False,-1
F-402-M70,NP-206-938,NP-206-938,YELLOW,False,-1
F-402-Q70,RE-525M,RE-525M,RED,False,-1
F-400-G30,S12-A,OE-7660A,RESIN_A,False,-1
BF-400-G30,S12-B,OE-7660B,RESIN_B,False,-1
F-400-H10,S13-A,ASP-1111A,RESIN_A,False,-1
F-401-C70,S13-B,ASP-1111B,RESIN_B,False,-1
F-400-K50,S17-A,KER-2936-A,RESIN_A,False,-1
F-401-D10,S17-B,KER-2936-B,RESIN_B,False,-1
F-400-K10,S14-A,KER-1931-9A,RESIN_A,False,-1
F-401-C90,S14-B,KER-1931-9B,RESIN_B,False,-1
F-405-B10,TA-300,TA-300,TiO2,False,-1
F-402-J90,BR-101/K,BR-101/K,RED,False,-1
F-402-Q40,BR-101/M,BR-101/M,RED,False,-1
F-402-C80,BR-101A,BR-101A,RED,False,-1
F-402-T70,BR2/615A,BR2/615A,RED,False,-1
F-402-T90,BR2/628A,BR2/628A,RED,False,-1
F-402-T80,BR3/639A,BR3/639A,RED,False,-1
F-402-R10,GR-SW532D,GR-SW532D,YELLOW,False,-1
F-402-F60,NP-163-12,NP-163-12,YELLOW,False,-1
F-402-G70,NP-163-13,NP-163-13,YELLOW,False,-1
F-402-R60,NP-2061-1107,NP-2061-1107,YELLOW,False,-1
F-402-R70,NP-2061-1204,NP-2061-1204,YELLOW,False,-1
F-402-H30,NP-206-118,NP-206-118,YELLOW,False,-1
F-402-F90,NP-206-119,NP-206-119,YELLOW,False,-1
F-402-T30,NP-2063-1001,NP-2063-1001,YELLOW,False,-1
F-402-B80,NP-206-36,NP-206-36,YELLOW,False,-1
F-402-D10,NP-206-40,NP-206-40,YELLOW,False,-1
F-402-C90,NP-206-43,NP-206-43,YELLOW,False,-1
F-402-C20,NP-206-48,NP-206-48,YELLOW,False,-1
