品種,MixTypeCd,作業No(From),作業No(To),時間(min/From),時間(min/To)
*,1,2,3,3,13
*,101,2,3,3,13
*,3,2,3,3,13
?H*,1,2,999,0,120
?H*,101,2,999,0,120
?V*,1,3,2,0,0
?V*,101,3,2,0,0
?U*,1,3,2,0,0
?U*,101,3,2,0,0
?S*,1,3,2,0,0
?S*,101,3,2,0,0
?E*,1,3,2,3,150
?E*,101,3,2,3,150
?Q*,1,3,2,3,210
?Q*,101,3,2,3,210
?C*,1,3,2,3,210
?C*,101,3,2,3,210
*,1,3,2,1,360
*,101,3,2,1,360
?V*,1,3,4,1,3
?V*,101,3,4,1,3
?U*,1,3,4,1,3
?U*,101,3,4,1,3
?S*,1,3,4,1,3
?S*,101,3,4,1,3
?E*,1,3,4,1,3
?E*,101,3,4,1,3
?Q*,1,3,4,1,3
?Q*,101,3,4,1,3
?C*,1,3,4,1,3
?C*,101,3,4,1,3
?H*,3,3,4,60,120
?H*MHWM5*,3,3,4,240,360
?E*,1,3,999,0,210
?E*,101,3,999,0,210
?Q*,1,3,999,0,210
?Q*,101,3,999,0,210
?C*,1,3,999,0,210
?C*,101,3,999,0,210
*,1,3,999,0,360
*,101,3,999,0,360
?V*,1,4,999,40,100
?V*,101,4,999,40,100
?U*,1,4,999,45,120
?U*,101,4,999,45,120
?S*,1,4,999,45,120
?S*,101,4,999,45,120
?E*,1,4,999,45,150
?E*,101,4,999,45,150
?Q*,1,4,999,90,210
?Q*,101,4,999,90,210
?C*,1,4,999,45,210
?C*,101,4,999,45,210
*,1,4,999,0,120
*,101,4,999,0,120
?H*,3,4,5,3,13
?H*MHWM5*,3,4,5,3,13
?H*,3,5,6,1,12
?H*MHWM5*,3,5,4,1,10
?H*MHWM5*,3,5,6,1,12
?H*,3,6,999,0,120
?H*MHWM5*,3,6,999,0,120
CL-A160*,3,1,5,0,30
CL-A160*,3,5,999,0,20
CL-A160*,4,7,999,0,60
