機種,LotNo,測定者,設備No,日時,測定箇所,項目,測定値[μm],判定,メジャリング
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:47:13,Blue-Anode,ボール厚 Z,12,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:47:28,Blue-Anode,ボール厚 Z,16,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:47:38,Blue-Anode,ボール厚 Z,14,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:47:53,Blue-Anode,ボール径 X,67,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:47:56,Blue-Anode,ボール径 Y,67,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:48:02,Blue-Anode,ボール径 X,64,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:48:09,Blue-Anode,ボール径 X,68,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:48:12,Blue-Anode,ボール径 Y,68,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:48:17,Blue-Anode,ボール径 Y,68,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:48:31,Blue-Cathode,ボール径 Y,62,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:48:39,Blue-Cathode,ボール径 Y,61,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:48:44,Blue-Cathode,ボール径 Y,61,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:48:59,Lead-Bump,ボール径 X,98,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:49:07,Lead-Bump,ボール径 X,97,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:49:10,Lead-Bump,ボール径 Y,97,,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:49:30,ZD,ボール径 X,67,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:49:39,ZD,ボール径 X,63,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:49:44,ZD,ボール径 X,63,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:49:54,ZD,ボール厚 Z,13,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:49:57,ZD,ボール厚 Z,13,OK,WB
CU0209-1201E1W11-00E-6062,21927DD001,23,123,2021-09-27 16:50:00,ZD,ボール厚 Z,13,OK,WB
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:00,Blue-Anode,ボール径 X,34.6,NG,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:10,Blue-Anode,ボール径 X,72.4,OK,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:18,Blue-Anode,ボール径 X,72.4,OK,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:20,Blue-Anode,ボール径 X,72.4,OK,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:27,Blue-Anode,ボール径 Y,56,NG,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:27,Blue-Anode,ボール径 Y,56,NG,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:28,Blue-Anode,ボール径 Y,56.1,NG,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:28,Blue-Anode,ボール径 Y,56.1,NG,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:33,Red-Anode,ボール径 X,72.5,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:34,Red-Anode,ボール径 X,72.5,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:42,Red-Anode,ボール厚 Z,9.9,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:43,Red-Anode,ボール厚 Z,9.9,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:44,Red-Anode,ループ高さ Z,9.9,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:44,Red-Anode,ループ高さ Z,9.9,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:45,Red-Anode,リバース量 Y,56.1,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:45,Red-Anode,ループ高さ Z,9.9,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:46,Red-Anode,リバース量 Y,56,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:47,Red-Anode,ループ高さ Z,9.9,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:47,Red-Anode,ボール厚 Z,9.9,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:47,Red-Anode,ボール径 Y,56.1,,MM-400/L No.3414246
CU0209-1201E1W11-00E-6062,21929DD001,qg,32,2021-09-29 11:44:49,Red-Cathode,ボール径 X,72.5,,MM-400/L No.3414246
