Product,Recipe
jus1test,JUS1
jus2test,JUS2
CS0209H1201E1W272M2X2,JUS2
CS0209H1201E1W302M2X2,JUS2
CS0209H1201E1W352M2X2,JUS2
CS0209H1201E1W402M2X2,JUS2
CS0209H1201E1W502M2X2,JUS2
CS0209H1201E1W572M2X2,JUS2
CS0209H1201E1W652M2X2,JUS2
CS0209H1201E1W272H5X3,JUS2
CS0209H1201E1W302H5X3,JUS2
CS0209H1201E1W352H5X3,JUS2
CS0209H1201E1W402H5X3,JUS2
CS0209H1201E1W572H5X3,JUS2
CS0209H1201E1W272H6X3,JUS2
CS0209H1201E1W302H6X3,JUS2
CS0209H1201E1W352H6X3,JUS2
CS0209H1201E1W303L7X4,JUS2
CS0209H1201E1W403L7X4,JUS2
CS0209H1201E1W503L7X4,JUS2
CS0209H1201E1W272H7X5,JUS2
CS0209H1201E1W302H7X5,JUS2
CS0209H1201E1W402H7X5,JUS2
CS0209H1202E1W272M2X2,JUS2
CS0209H1202E1W302M2X2,JUS2
CS0209H1202E1W352M2X2,JUS2
CS0209H1202E1W402M2X2,JUS2
CS0209H1202E1W502M2X2,JUS2
CS0209H1202E1W572M2X2,JUS2
CS0209H1202E1W652M2X2,JUS2
CS0209H1202E1W272H5X3,JUS2
CS0209H1202E1W302H5X3,JUS2
CS0209H1202E1W352H5X3,JUS2
CS0209H1202E1W402H5X3,JUS2
CS0209H1202E1W572H5X3,JUS2
CS0209H1202E1W272H6X3,JUS2
CS0209H1202E1W302H6X3,JUS2
CS0209H1202E1W352H6X3,JUS2
CS0209H1202E1W303L7X4,JUS2
CS0209H1202E1W403L7X4,JUS2
CS0209H1202E1W503L7X4,JUS2
CS0209H1202E1W272H7X5,JUS2
CS0209H1202E1W302H7X5,JUS2
CS0209H1202E1W402H7X5,JUS2
CS0209H1203E1W272M2X2,JUS2
CS0209H1203E1W302M2X2,JUS2
CS0209H1203E1W352M2X2,JUS2
CS0209H1203E1W402M2X2,JUS2
CS0209H1203E1W502M2X2,JUS2
CS0209H1203E1W572M2X2,JUS2
CS0209H1203E1W652M2X2,JUS2
CS0209H1203E1W272H5X3,JUS2
CS0209H1203E1W302H5X3,JUS2
CS0209H1203E1W352H5X3,JUS2
CS0209H1203E1W402H5X3,JUS2
CS0209H1203E1W572H5X3,JUS2
CS0209H1203E1W272H6X3,JUS2
CS0209H1203E1W302H6X3,JUS2
CS0209H1203E1W352H6X3,JUS2
CS0209H1203E1W303L7X4,JUS2
CS0209H1203E1W403L7X4,JUS2
CS0209H1203E1W503L7X4,JUS2
CS0209H1203E1W272H7X5,JUS2
CS0209H1203E1W302H7X5,JUS2
CS0209H1203E1W402H7X5,JUS2
CS0209H1204E1W272M2X2,JUS2
CS0209H1204E1W302M2X2,JUS2
CS0209H1204E1W352M2X2,JUS2
CS0209H1204E1W402M2X2,JUS2
CS0209H1204E1W502M2X2,JUS2
CS0209H1204E1W572M2X2,JUS2
CS0209H1204E1W652M2X2,JUS2
CS0209H1204E1W272H5X3,JUS2
CS0209H1204E1W302H5X3,JUS2
CS0209H1204E1W352H5X3,JUS2
CS0209H1204E1W402H5X3,JUS2
CS0209H1204E1W572H5X3,JUS2
CS0209H1204E1W272H6X3,JUS2
CS0209H1204E1W302H6X3,JUS2
CS0209H1204E1W352H6X3,JUS2
CS0209H1204E1W303L7X4,JUS2
CS0209H1204E1W403L7X4,JUS2
CS0209H1204E1W503L7X4,JUS2
CS0209H1204E1W272H7X5,JUS2
CS0209H1204E1W302H7X5,JUS2
CS0209H1204E1W402H7X5,JUS2
CS0309H1205E1W272M2X2,JUS2
CS0309H1205E1W302M2X2,JUS2
CS0309H1205E1W352M2X2,JUS2
CS0309H1205E1W402M2X2,JUS2
CS0309H1205E1W502M2X2,JUS2
CS0309H1205E1W572M2X2,JUS2
CS0309H1205E1W652M2X2,JUS2
CS0309H1205E1W272H5X3,JUS2
CS0309H1205E1W302H5X3,JUS2
CS0309H1205E1W352H5X3,JUS2
CS0309H1205E1W402H5X3,JUS2
CS0309H1205E1W572H5X3,JUS2
CS0309H1205E1W272H6X3,JUS2
CS0309H1205E1W302H6X3,JUS2
CS0309H1205E1W352H6X3,JUS2
CS0309H1205E1W303L7X4,JUS2
CS0309H1205E1W403L7X4,JUS2
CS0309H1205E1W503L7X4,JUS2
CS0309H1205E1W272H7X5,JUS2
CS0309H1205E1W302H7X5,JUS2
CS0309H1205E1W402H7X5,JUS2
CS0309H1206E1W272M2X2,JUS2
CS0309H1206E1W302M2X2,JUS2
CS0309H1206E1W352M2X2,JUS2
CS0309H1206E1W402M2X2,JUS2
CS0309H1206E1W502M2X2,JUS2
CS0309H1206E1W572M2X2,JUS2
CS0309H1206E1W652M2X2,JUS2
CS0309H1206E1W272H5X3,JUS2
CS0309H1206E1W302H5X3,JUS2
CS0309H1206E1W352H5X3,JUS2
CS0309H1206E1W402H5X3,JUS2
CS0309H1206E1W572H5X3,JUS2
CS0309H1206E1W272H6X3,JUS2
CS0309H1206E1W302H6X3,JUS2
CS0309H1206E1W352H6X3,JUS2
CS0309H1206E1W303L7X4,JUS2
CS0309H1206E1W403L7X4,JUS2
CS0309H1206E1W503L7X4,JUS2
CS0309H1206E1W272H7X5,JUS2
CS0309H1206E1W302H7X5,JUS2
CS0309H1206E1W402H7X5,JUS2
CS0309H1208E1W272M2X2,JUS2
CS0309H1208E1W302M2X2,JUS2
CS0309H1208E1W352M2X2,JUS2
CS0309H1208E1W402M2X2,JUS2
CS0309H1208E1W502M2X2,JUS2
CS0309H1208E1W572M2X2,JUS2
CS0309H1208E1W652M2X2,JUS2
CS0309H1208E1W272H5X3,JUS2
CS0309H1208E1W302H5X3,JUS2
CS0309H1208E1W352H5X3,JUS2
CS0309H1208E1W402H5X3,JUS2
CS0309H1208E1W572H5X3,JUS2
CS0309H1208E1W272H6X3,JUS2
CS0309H1208E1W302H6X3,JUS2
CS0309H1208E1W352H6X3,JUS2
CS0309H1208E1W303L7X4,JUS2
CS0309H1208E1W403L7X4,JUS2
CS0309H1208E1W503L7X4,JUS2
CS0309H1208E1W272H7X5,JUS2
CS0309H1208E1W302H7X5,JUS2
CS0309H1208E1W402H7X5,JUS2
CS0309H1210E1W272M2X2,JUS2
CS0309H1210E1W302M2X2,JUS2
CS0309H1210E1W352M2X2,JUS2
CS0309H1210E1W402M2X2,JUS2
CS0309H1210E1W502M2X2,JUS2
CS0309H1210E1W572M2X2,JUS2
CS0309H1210E1W652M2X2,JUS2
CS0309H1210E1W272H5X3,JUS2
CS0309H1210E1W302H5X3,JUS2
CS0309H1210E1W352H5X3,JUS2
CS0309H1210E1W402H5X3,JUS2
CS0309H1210E1W572H5X3,JUS2
CS0309H1210E1W272H6X3,JUS2
CS0309H1210E1W302H6X3,JUS2
CS0309H1210E1W352H6X3,JUS2
CS0309H1210E1W303L7X4,JUS2
CS0309H1210E1W403L7X4,JUS2
CS0309H1210E1W503L7X4,JUS2
CS0309H1210E1W272H7X5,JUS2
CS0309H1210E1W302H7X5,JUS2
CS0309H1210E1W402H7X5,JUS2
CS0409H1212E1W272M2X2,JUS2
CS0409H1212E1W302M2X2,JUS2
CS0409H1212E1W352M2X2,JUS2
CS0409H1212E1W402M2X2,JUS2
CS0409H1212E1W502M2X2,JUS2
CS0409H1212E1W572M2X2,JUS2
CS0409H1212E1W652M2X2,JUS2
CS0409H1212E1W272H5X3,JUS2
CS0409H1212E1W302H5X3,JUS2
CS0409H1212E1W352H5X3,JUS2
CS0409H1212E1W402H5X3,JUS2
CS0409H1212E1W572H5X3,JUS2
CS0409H1212E1W272H6X3,JUS2
CS0409H1212E1W302H6X3,JUS2
CS0409H1212E1W352H6X3,JUS2
CS0409H1212E1W303L7X4,JUS2
CS0409H1212E1W403L7X4,JUS2
CS0409H1212E1W503L7X4,JUS2
CS0409H1212E1W272H7X5,JUS2
CS0409H1212E1W302H7X5,JUS2
CS0409H1212E1W402H7X5,JUS2
CS0409H1812E1W272M2X2,JUS2
CS0409H1812E1W302M2X2,JUS2
CS0409H1812E1W352M2X2,JUS2
CS0409H1812E1W402M2X2,JUS2
CS0409H1812E1W502M2X2,JUS2
CS0409H1812E1W572M2X2,JUS2
CS0409H1812E1W652M2X2,JUS2
CS0409H1812E1W272H5X3,JUS2
CS0409H1812E1W302H5X3,JUS2
CS0409H1812E1W352H5X3,JUS2
CS0409H1812E1W402H5X3,JUS2
CS0409H1812E1W572H5X3,JUS2
CS0409H1812E1W272H6X3,JUS2
CS0409H1812E1W302H6X3,JUS2
CS0409H1812E1W352H6X3,JUS2
CS0409H1812E1W303L7X4,JUS2
CS0409H1812E1W403L7X4,JUS2
CS0409H1812E1W503L7X4,JUS2
CS0409H1812E1W272H7X5,JUS2
CS0409H1812E1W302H7X5,JUS2
