Product,Recipe
db1test,SCT1
db2test,SCT1
sdr1test,SCT1
sct1test,SCT1
sct2test,SCT2
sct3test,SCT3
CLU028H0604C4-00A,SCT1
CLU028H0604C4-000,SCT1
CLU028H0604C4-00E,SCT1
CLU028H0701C4-000,SCT1
CLU028H0901C4-000,SCT1
CLU028H1201C4-00A,SCT1
CLU028H1201C4-000,SCT1
CLU028H1201C4-00E,SCT1
CLU028H1201C4-00B,SCT1
CLU028H1202C4-00A,SCT1
CLU028H1202C4-000,SCT1
CLU028H1202C4-00E,SCT1
CLU028H1202C4-00B,SCT1
CLU028H1203C4-00A,SCT1
CLU028H1203C4-000,SCT1
CLU028H1203C4-00E,SCT1
CLU028H1203C4-00B,SCT1
CLU028H1204C4-00A,SCT1
CLU028H1204C4-000,SCT1
CLU028H1204C4-00E,SCT1
CLU028H1204C4-00B,SCT1
CLU028H0702C4-000,SCT1
CLU028H0702C4-00A,SCT1
CLU028H0604C4-00B,SCT1
CLU028H1301C4-000,SCT1
CLU028H1701C4-000,SCT1
CLUN50H3618C4-000,SCT1
CLUN50H3618C4-00B,SCT1
CLUN50H3618C4-00A,SCT1
CLUN52H3618C4-000,SCT1
CLUN52H3618C4-00B,SCT1
CLUN52H3618C4-00A,SCT1
MSL930H7306C4-0AC,SCT1
MSL931H3712C4-0AC,SCT1
MSL936H4606C4-0AC,SCT1
MSL933H3012C4-0AC,SCT1
MSL937H2414C4-0AC,SCT1
CBU970H1832C1-000,SCT1
CBL972H1824C4-000,SCT1
CBL972H1824C4-00B,SCT1
MHL938H3620C4-0AD,SCT1
MHL939H2320C4-0AD,SCT1
MHL939H4710C4-0AD,SCT1
MHL93AH3120C4-0AD,SCT1
MHL93BH1540C4-0AD,SCT1
ENL950H1008C4-00B,SCT1
ENL950H1008C4-00E,SCT1
EL952B-1018C4-10-00B-6011,SCT1
EL952B-1018C4-10-00E-6011,SCT1
EL952B-1018C4-10-00A-6011,SCT1
ENL960H1227C4-00B,SCT1
ENL960H1227C4-00E,SCT1
MHL944H4711C4-0AA,SCT1
MHL944H4711C4W0AA,SCT1
TH965C-1136C4-19-00A-6011,SCT1
EL910B-4004C4-N0-B0A-6013,SCT3
EL910B-4004C4-N0-00A-6013,SCT3
EL910B-4004C4-N0-00E-6013,SCT3
EL910B-2804C4-N0-B0A-6013,SCT3
EL910B-2804C4-N0-00A-6013,SCT3
EL910B-2804C4-N0-00E-6013,SCT3
EL912B-3602C9-N0-00A-6013,SCT3
EL912B-3602C9-N0-00E-6013,SCT3
EL912B-2402C9-N0-00A-6013,SCT3
EL912B-2402C9-N0-00E-6013,SCT3
CU0209-1201E1W11-00E-6062,SCT3
CU0209-1201E1W11-000-6062,SCT3
CU0209-1201E1W11-00B-6062,SCT3
CU0209-1202E1W11-00E-6062,SCT3
CU0209-1202E1W11-000-6062,SCT3
CU0209-1202E1W11-00B-6062,SCT3
CU0209-1203E1W11-00E-6062,SCT3
CU0209-1203E1W11-000-6062,SCT3
CU0209-1203E1W11-00B-6062,SCT3
CU0209-1204E1W11-00E-6062,SCT3
CU0209-1204E1W11-000-6062,SCT3
CU0209-1204E1W11-00B-6062,SCT3
CU0309-1205E1W11-00E-6012,SCT3
CU0309-1205E1W11-000-6012,SCT3
CU0309-1205E1W11-00B-6012,SCT3
CU0309-1206E1W11-00E-6012,SCT3
CU0309-1206E1W11-000-6012,SCT3
CU0309-1206E1W11-00B-6012,SCT3
CU0309-1208E1W11-00E-6012,SCT3
CU0309-1208E1W11-000-6012,SCT3
CU0309-1208E1W11-00B-6012,SCT3
CU0309-1210E1W11-00E-6012,SCT3
CU0309-1210E1W11-000-6012,SCT3
CU0309-1210E1W11-00B-6012,SCT3
CU0409-1212E1W11-00E-6012,SCT3
CU0409-1212E1W11-000-6012,SCT3
CU0409-1212E1W11-00B-6012,SCT3
CU0409-1812E1W12-00E-6012,SCT3
CU0409-1812E1W12-000-6012,SCT3
CU0409-1812E1W12-00B-6012,SCT3
CU0409-1818E1W12-00E-6012,SCT3
CU0409-1818E1W12-000-6012,SCT3
CU0409-1818E1W12-00B-6012,SCT3
CU0509-1825E1W12-00E-6012,SCT3
CU0509-1825E1W12-000-6012,SCT3
CU0509-1825E1W12-00B-6012,SCT3
CU0509-3618E1W13-00E-6012,SCT3
CU0509-3618E1W13-000-6012,SCT3
CU0509-3618E1W13-00B-6012,SCT3
CU0409-1211E1W11-00E-6012,SCT3
CU0409-1211E1W11-000-6012,SCT3
CU0409-1211E1W11-00B-6012,SCT3
CU0208-1201C9-11-00E-6012,SCT3
CU0208-1201C9-11-000-6012,SCT3
CU0208-1202C9-11-00E-6012,SCT3
CU0208-1202C9-11-000-6012,SCT3
CU0208-1202C9-11-00B-6012,SCT3
CU0208-1203C9-11-00E-6012,SCT3
CU0208-1203C9-11-000-6012,SCT3
CU0208-1203C9-11-00B-6012,SCT3
CU0208-1204C9-11-00E-6012,SCT3
CU0208-1204C9-11-000-6012,SCT3
CU0208-1204C9-11-00B-6012,SCT3
CU0308-1205C9-11-00E-6012,SCT3
CU0308-1205C9-11-000-6012,SCT3
CU0308-1205C9-11-00B-6012,SCT3
CU0308-1206C9-11-00E-6012,SCT3
CU0308-1206C9-11-000-6012,SCT3
CU0308-1206C9-11-00B-6012,SCT3
CU0308-1208C9-11-00E-6012,SCT3
CU0308-1208C9-11-000-6012,SCT3
CU0308-1208C9-11-00H-6012,SCT3
CU0308-1208C9-11-00B-6012,SCT3
CU0308-1210C9-11-00E-6012,SCT3
CU0308-1210C9-11-000-6012,SCT3
CU0408-1211C9-11-00E-6012,SCT3
CU0408-1211C9-11-000-6012,SCT3
CU0408-1212C9-11-00E-6012,SCT3
CU0408-1212C9-11-000-6012,SCT3
CU0408-1212C9-11-00B-6012,SCT3
CU0408-1812C9-12-00E-6012,SCT3
CU0408-1812C9-12-000-6012,SCT3
CU0408-1812C9-12-00B-6012,SCT3
CU0408-1818C9-12-00E-6012,SCT3
CU0408-1818C9-12-000-6012,SCT3
CU0208-1201C9-11-00B-6012,SCT3
CU0308-1210C9-11-00B-6012,SCT3
CU0408-1211C9-11-00B-6012,SCT3
CU0408-1818C9-12-00B-6012,SCT3
RU04P8-1212C9-11-00E-6012,SCT3
RU04P8-1212C9-11-000-6012,SCT3
RU04R8-1216C9-11-00E-6012,SCT3
RU04R8-1216C9-11-000-6012,SCT3
RU04T8-1216C4-11-00A-6012,SCT3
RU04T8-1216C4-11-00E-6012,SCT3
RU04T8-1216C4-11-000-6012,SCT3
RU04T8-1216C4-11-00B-6012,SCT3
CU0208-1201C9-11-00A-6012,SCT3
CU0208-1202C9-11-00A-6012,SCT3
CU0208-1203C9-11-00A-6012,SCT3
CU0208-1204C9-11-00A-6012,SCT3
CU0308-1205C9-11-00A-6012,SCT3
CU0308-1206C9-11-00A-6012,SCT3
CU0308-1208C9-11-00A-6012,SCT3
CU0308-1210C9-11-00A-6012,SCT3
CU0408-1211C9-11-00A-6012,SCT3
CU0408-1212C9-11-00A-6012,SCT3
CU0408-1812C9-12-00A-6012,SCT3
CU0408-1818C9-12-00A-6012,SCT3
CU0508-1825C9-12-00A-6012,SCT3
CU0508-3618C9-13-00A-6012,SCT3
CU0208-0604C9-01-00B-6012,SCT3
CU0208-1204C9-11-00H-6012,SCT3
CU0408-1812C9-12-00F-6012,SCT3
CU0308-1205C9-11-00H-6012,SCT3
CU0408-1212C9-11-00H-6012,SCT3
CU0408-1818C9-12-00H-6012,SCT3
CU0408-1318C9-11-00H-6012,SCT3
CU0408-1318C9-11-00E-6012,SCT3
CU0408-1318C9-11-000-6012,SCT3
EU0206-0505C4-01-00A-401A,SCT1
EU0206-0505C4-01-000-401A,SCT1
CLU02CH0704C4-00A,SCT1
CLU02CH0704C4-000,SCT1
CLU02CH0704C4-00B,SCT1
CLU02CH0904C4-00A,SCT1
CLU02CH0904C4-000,SCT1
CLU02CH0904C4-00B,SCT1
CL0206-1001C4-11-000-601A,SCT1
CLU02CH1201C4-00A,SCT1
CLU02CH1201C4-000,SCT1
GU0206H1201C4-11-000-40AA,SCT1
CLU02CH1201C4-00F,SCT1
CLU02CH1201C4-00E,SCT1
GU0206H1201C4-11-00E-40AA,SCT1
CLU02CH1201C4-00B,SCT1
GU0206H1201C4-11-00H-40AA,SCT1
CLU02CH1202C4-00A,SCT1
