Num Row X Y Angle Valid Style MCMType
0 0 0.95 1.67 0.40 1 0 0
0 1 -2.64 6.00 0.25 1 1 0
1 1 -0.45 5.38 0.06 1 1 0
0 2 -0.10 3.57 0.24 1 2 0
0 2 -2.17 1.84 0.32 1 3 0
0 1 3.66 4.66 0.11 1 4 0
1 1 5.29 1.93 0.06 1 4 0
0 0 3.62 -0.21 0.11 1 5 0
0 0 -4.21 0.42 0.27 1 6 0
0 1 3.53 4.46 0.05 1 7 0
1 1 3.01 7.27 -0.03 1 7 0
0 2 -0.60 5.57 0.07 1 8 0
0 3 -1.05 -0.86 -0.02 1 0 0
0 4 -2.59 -1.95 0.12 1 1 0
1 4 3.74 7.98 -0.10 1 1 0
0 5 1.43 4.71 -0.24 1 2 0
0 5 1.54 -3.49 -0.04 1 3 0
0 4 9.09 -2.65 -0.15 1 4 0
1 4 9.11 -0.91 -0.13 1 4 0
0 3 8.86 -6.46 -0.22 1 5 0
0 3 -2.58 -4.39 -0.19 1 6 0
0 4 1.19 1.00 -0.44 1 7 0
1 4 4.40 4.90 -0.07 1 7 0
0 5 0.92 5.79 0.04 1 8 0
0 6 -0.21 -2.55 -0.17 1 0 0
0 7 -1.34 -3.98 -0.12 1 1 0
1 7 -1.53 0.63 0.28 1 1 0
0 8 -2.58 -1.17 -0.19 1 2 0
0 8 6.21 -6.93 0.08 1 3 0
0 7 11.45 -11.43 0.31 1 4 0
1 7 13.56 -2.52 0.19 1 4 0
0 6 12.71 -11.58 0.31 1 5 0
0 6 -4.59 -0.39 0.17 1 6 0
0 7 0.97 -1.97 0.00 1 7 0
1 7 -0.42 1.93 0.21 1 7 0
0 8 -0.34 3.19 0.52 1 8 0
0 9 -4.89 0.08 0.54 1 0 0
0 10 -4.06 -0.22 0.42 1 1 0
1 10 -4.61 2.73 0.18 1 1 0
0 11 -3.30 0.73 0.17 1 2 0
0 11 -0.78 -5.55 0.13 1 3 0
0 10 7.86 -8.66 0.16 1 4 0
1 10 7.89 -7.94 0.24 1 4 0
0 9 7.00 -13.99 0.14 1 5 0
0 9 -7.03 2.50 0.14 1 6 0
0 10 -5.31 -0.19 0.43 1 7 0
1 10 -0.38 7.77 0.03 1 7 0
0 11 -11.74 5.93 0.19 1 8 0
0 0 -4.90 5.92 0.68 1 0 0
0 1 0.53 5.56 0.25 1 1 0
1 1 -3.04 3.85 0.50 1 1 0
0 2 0.01 3.19 0.06 1 2 0
0 2 6.74 7.90 0.05 1 3 0
0 1 10.94 8.19 0.99 1 4 0
1 1 9.78 5.76 0.64 1 4 0
0 0 9.39 5.55 0.30 1 5 0
0 0 -2.64 2.08 0.45 1 6 0
0 1 2.25 3.73 0.39 1 7 0
1 1 0.97 6.41 0.77 1 7 0
0 2 2.47 8.83 0.67 1 8 0
0 3 1.79 -1.18 0.17 1 0 0
0 4 0.86 2.51 0.53 1 1 0
1 4 2.54 7.56 0.55 1 1 0
0 5 0.98 5.63 0.23 1 2 0
0 5 1.42 -0.54 0.44 1 3 0
0 4 11.47 2.58 0.53 1 4 0
1 4 11.63 5.15 0.21 1 4 0
0 3 6.84 -3.97 0.61 1 5 0
0 3 -0.13 -0.92 0.36 1 6 0
0 4 4.55 -0.48 0.36 1 7 0
1 4 2.31 4.68 0.50 1 7 0
0 5 1.78 6.91 0.68 1 8 0
0 6 1.57 -3.28 0.44 1 0 0
0 7 0.95 -2.40 0.33 1 1 0
1 7 -0.81 0.99 0.37 1 1 0
0 8 -2.87 1.14 0.62 1 2 0
0 8 -0.36 -8.04 0.38 1 3 0
0 7 8.86 -10.43 0.43 1 4 0
1 7 11.56 -0.04 0.33 1 4 0
0 6 5.87 -8.80 0.31 1 5 0
0 6 4.42 -0.82 0.47 1 6 0
0 7 5.42 -3.21 0.45 1 7 0
1 7 7.69 0.48 0.49 1 7 0
0 8 8.34 2.22 0.55 1 8 0
0 9 1.44 -5.08 0.50 1 0 0
0 10 -5.03 -5.38 0.17 1 1 0
1 10 4.83 3.06 0.35 1 1 0
0 11 -0.01 -0.83 0.56 1 2 0
0 11 -2.07 -6.04 0.38 1 3 0
0 10 9.92 -7.27 0.39 1 4 0
1 10 9.40 -9.27 0.41 1 4 0
0 9 7.22 -6.87 0.32 1 5 0
0 9 -2.82 -7.18 0.02 1 6 0
0 10 -1.77 -4.67 0.12 1 7 0
1 10 0.29 0.76 0.27 1 7 0
0 11 1.09 -1.21 0.26 1 8 0
0 0 1.82 4.76 0.32 1 0 0
0 1 0.39 5.68 0.14 1 1 0
1 1 -0.53 5.83 -0.08 1 1 0
0 2 3.59 8.11 0.08 1 2 0
0 2 6.49 7.13 0.32 1 3 0
0 1 8.60 3.60 0.04 1 4 0
1 1 7.61 5.00 0.24 1 4 0
0 0 8.01 4.97 0.05 1 5 0
0 0 -1.15 8.19 0.04 1 6 0
0 1 3.97 6.28 0.23 1 7 0
1 1 4.97 9.59 0.29 1 7 0
0 2 0.09 5.89 0.22 1 8 0
0 3 1.29 -0.88 0.32 1 0 0
0 4 1.44 5.23 0.41 1 1 0
1 4 1.41 5.36 -0.02 1 1 0
0 5 4.02 6.23 0.06 1 2 0
0 5 4.28 2.30 -0.05 1 3 0
0 4 6.19 0.21 0.18 1 4 0
1 4 7.55 1.99 0.23 1 4 0
0 3 8.50 -4.91 0.16 1 5 0
0 3 -0.25 3.38 -0.03 1 6 0
0 4 5.52 1.88 -0.22 1 7 0
1 4 7.26 6.36 -0.03 1 7 0
0 5 4.25 6.77 -0.05 1 8 0
0 6 5.11 -0.21 0.07 1 0 0
0 7 2.15 2.26 -0.19 1 1 0
1 7 -0.35 4.12 -0.40 1 1 0
0 8 -2.56 -0.85 -0.42 1 2 0
0 8 3.83 0.53 -0.17 1 3 0
0 7 12.09 -9.24 -0.34 1 4 0
1 7 10.20 -0.91 -0.20 1 4 0
0 6 12.21 -1.66 0.05 1 5 0
0 6 -0.94 1.73 -0.05 1 6 0
0 7 4.83 1.50 -0.27 1 7 0
1 7 6.28 5.62 -0.32 1 7 0
0 8 0.86 4.82 -0.16 1 8 0
0 9 -0.46 -1.17 -0.37 1 0 0
0 10 -4.44 3.06 -0.10 1 1 0
1 10 -4.74 1.31 -0.11 1 1 0
0 11 -2.42 0.31 0.28 1 2 0
0 11 -0.36 -2.22 0.25 1 3 0
0 10 7.89 -4.04 -0.04 1 4 0
1 10 7.19 -3.25 0.19 1 4 0
0 9 7.91 -2.22 0.06 1 5 0
0 9 -2.76 -4.02 0.03 1 6 0
0 10 -1.27 -1.46 -0.10 1 7 0
1 10 -1.82 -0.12 -0.05 1 7 0
0 11 -1.78 2.36 0.22 1 8 0
0 0 2.01 3.20 -0.16 1 0 0
0 1 0.59 2.14 -0.12 1 1 0
1 1 2.53 6.80 -0.01 1 1 0
0 2 5.07 5.68 -0.28 1 2 0
0 2 3.51 8.86 0.03 1 3 0
0 1 7.27 4.97 0.11 1 4 0
1 1 7.85 9.93 -0.12 1 4 0
0 0 3.84 -1.89 -0.18 1 5 0
0 0 -2.89 1.57 -0.16 1 6 0
0 1 3.03 3.95 -0.23 1 7 0
1 1 2.12 9.50 -0.19 1 7 0
0 2 2.28 7.85 0.02 1 8 0
0 3 0.28 -0.06 -0.36 1 0 0
0 4 3.73 4.12 -0.01 1 1 0
1 4 0.89 6.97 -0.10 1 1 0
0 5 1.34 5.84 -0.19 1 2 0
0 5 4.00 1.55 0.21 1 3 0
0 4 11.34 1.12 0.18 1 4 0
1 4 13.05 3.13 -0.16 1 4 0
0 3 10.00 -0.74 -0.32 1 5 0
0 3 -2.52 -1.98 -0.05 1 6 0
0 4 3.57 0.89 -0.04 1 7 0
1 4 2.74 3.79 -0.09 1 7 0
0 5 3.65 6.18 -0.06 1 8 0
0 6 1.47 -2.21 0.09 1 0 0
0 7 5.04 -3.10 -0.19 1 1 0
1 7 0.60 1.37 -0.06 1 1 0
0 8 -4.19 1.39 0.13 1 2 0
0 8 3.55 -1.49 0.12 1 3 0
0 7 11.00 -4.20 0.29 1 4 0
1 7 13.24 0.08 0.14 1 4 0
0 6 12.41 -5.41 0.23 1 5 0
0 6 0.48 -1.75 -0.02 1 6 0
0 7 4.15 -0.95 -0.13 1 7 0
1 7 4.84 -0.25 0.38 1 7 0
0 8 -2.36 0.70 0.03 1 8 0
0 9 -4.98 -0.48 0.33 1 0 0
0 10 -4.09 3.81 -0.14 1 1 0
1 10 -6.88 3.27 0.25 1 1 0
0 11 -6.63 2.87 0.22 1 2 0
0 11 -1.00 -7.78 0.31 1 3 0
0 10 10.73 -7.45 0.14 1 4 0
1 10 10.68 -1.68 0.20 1 4 0
0 9 9.89 -0.88 -0.03 1 5 0
0 9 -6.69 -1.75 0.48 1 6 0
0 10 -2.82 3.32 -0.15 1 7 0
1 10 -4.45 -0.54 0.34 1 7 0
0 11 -5.25 -1.81 0.42 1 8 0
0 0 -2.31 8.09 0.26 1 0 0
0 1 -1.70 2.72 0.13 1 1 0
1 1 -1.81 9.28 0.57 1 1 0
0 2 3.88 6.07 0.39 1 2 0
0 2 6.50 7.81 0.08 1 3 0
0 1 6.37 4.55 0.47 1 4 0
1 1 7.17 10.94 0.10 1 4 0
0 0 6.29 4.51 0.03 1 5 0
0 0 -1.53 2.17 0.02 1 6 0
0 1 3.43 4.62 -0.30 1 7 0
1 1 3.60 8.15 0.24 1 7 0
0 2 2.84 5.00 0.05 1 8 0
0 3 2.22 -0.28 0.04 1 0 0
0 4 0.79 -0.75 0.04 1 1 0
1 4 0.03 0.15 0.06 1 1 0
0 5 0.09 4.69 -0.31 1 2 0
0 5 3.15 4.67 0.14 1 3 0
0 4 10.76 -1.52 0.32 1 4 0
1 4 6.62 5.18 0.32 1 4 0
0 3 8.41 -2.68 0.37 1 5 0
0 3 4.75 -2.35 0.39 1 6 0
0 4 7.27 2.48 0.12 1 7 0
1 4 6.23 2.84 0.17 1 7 0
0 5 5.53 2.18 0.29 1 8 0
0 6 5.01 -4.53 0.13 1 0 0
0 7 4.42 -7.55 0.46 1 1 0
