測定時刻,ロット番号,シリアルカウンタ,判定,担当者,右累積ピッチ,左累積ピッチ,右ピッチ上,右ピッチ下,左ピッチ上,左ピッチ下,右上アライメント+,右上アライメント-,右下アライメント+,右下アライメント-,左上アライメント+,左上アライメント-,左下アライメント+,左下アライメント-,右上深さ,右下深さ,左上深さ,左下深さ,残厚右上,残厚右下,残厚左上,残厚左下,手動再測定確認,投入枚数,回収枚数,外観状態確認結果,上刃ブレードカット距離,下刃ブレードカット距離,元データファイル名
2021/10/20 14:30:07,,0001,NG,,59.447,59.442,,,,,,,,,,,,,,,,,,,,,OK,25,25,OK,0,0,V-002_CS0309V溝加工測定__20211020 143007Innovation Sec..csv
2021/10/20 14:32:51,,0002,OK,,59.447,59.443,,,,,,,,,,,,,,,,,,,,,,25,25,OK,0,0,V-002_CS0309V溝加工測定__20211020 143251Innovation Sec..csv
2021/10/20 14:35:09,,0003,NG,,59.447,59.443,,,,,,,,,,,,,,,,,,,,,OK,25,25,OK,0,0,V-002_CS0309V溝加工測定__20211020 143509Innovation Sec..csv
2021/10/20 14:30:07,,0001,NG,,59.447,59.442,,,,,,,,,,,,,,,,,,,,,OK,25,25,OK,0,0,V-002_CS0309V溝加工測定__20211020 143007Innovation Sec..csv
2021/10/20 14:32:51,,0002,OK,,59.447,59.443,,,,,,,,,,,,,,,,,,,,,,25,25,OK,0,0,V-002_CS0309V溝加工測定__20211020 143251Innovation Sec..csv
2021/10/20 14:35:09,,0003,NG,,59.447,59.443,,,,,,,,,,,,,,,,,,,,,OK,25,25,OK,0,0,V-002_CS0309V溝加工測定__20211020 143509Innovation Sec..csv
2021/10/20 14:30:07,,0001,NG,,59.447,59.442,,,,,,,,,,,,,,,,,,,,,NG,25,25,OK,0,0,V-002_CS0309V溝加工測定__20211020 143007Innovation Sec..csv
2021/10/20 14:32:51,,0002,OK,,59.447,59.443,,,,,,,,,,,,,,,,,,,,,,25,25,OK,0,0,V-002_CS0309V溝加工測定__20211020 143251Innovation Sec..csv
2021/10/20 14:35:09,,0003,NG,,59.447,59.443,,,,,,,,,,,,,,,,,,,,,NG,25,25,OK,0,0,V-002_CS0309V溝加工測定__20211020 143509Innovation Sec..csv
2021/10/20 14:30:07,,0001,NG,,59.447,59.442,,,,,,,,,,,,,,,,,,,,,NG,25,25,NG,0,0,V-002_CS0309V溝加工測定__20211020 143007Innovation Sec..csv
2021/10/20 14:32:51,,0002,OK,,59.447,59.443,,,,,,,,,,,,,,,,,,,,,,25,25,NG,0,0,V-002_CS0309V溝加工測定__20211020 143251Innovation Sec..csv
2021/10/20 14:35:09,,0003,NG,,59.447,59.443,,,,,,,,,,,,,,,,,,,,,NG,25,25,NG,0,0,V-002_CS0309V溝加工測定__20211020 143509Innovation Sec..csv
2021/10/20 14:30:07,,0001,NG,,59.447,59.442,,,,,,,,,,,,,,,,,,,,,NG,25,25,OK,0,0,V-002_CS0309V溝加工測定__20211020 143007Innovation Sec..csv
2021/10/20 14:32:51,,0002,OK,,59.447,59.443,,,,,,,,,,,,,,,,,,,,,,25,25,OK,0,0,V-002_CS0309V溝加工測定__20211020 143251Innovation Sec..csv
2021/10/20 14:35:09,,0003,NG,,59.447,59.443,,,,,,,,,,,,,,,,,,,,,NG,25,25,OK,0,0,V-002_CS0309V溝加工測定__20211020 143509Innovation Sec..csv
